firm_name;n_patents;ipc_main_code;ipc_main_desc;ipc_second_code;ipc_second_desc;addr_city_main;addr_dept_main
CARLO SACCHETTINI IMPORT CSI;1;B32B;Layered products, i.e. Products built-up of strata of flat or non-flat, e.g. Cellular or honeycomb, form;;;Nantes;
CARLOD JEROME;1;H01L;"Semiconductor devices; electric solid state devices not otherwise provided for";;;Martignat;11
CARMAT;4;A61L;"Methods or apparatus for sterilising materials or objects in general; disinfection, sterilisation, or deodorisation of air; chemical aspects of bandages, dressings, absorbent pads, or surgical articles; materials for bandages, dressings, absorbent pads, or surgical articles";;;Velizy Villacoublay;78
CARME CHRISTIAN;6;F24F;"Air-conditioning; air-humidification; ventilation; use of air currents for screening";;;Marseille;13
CARMESINI LAETITIA;1;B60Q;Arrangement of signalling or lighting devices, the mounting or supporting thereof or circuits therefor, for vehicles in general;;;Nice;61
CAROLLO MARC;1;A23L;"Foods, foodstuffs, or non-alcoholic beverages, not covered by subclasses ; a21d;  or a23b-a23j; their preparation or treatment, e.g. Cooking, modification of nutritive qualities, physical treatment";;;Carcassonne;11
CARON CHRISTELLE;1;E04H;"Buildings or like structures for particular purposes; swimming or splash baths or pools; masts; fencing; tents or canopies, in general";;;Gagny;93
CARPANZANO FABRICE;1;C04B;"Lime; magnesia; slag; cements; compositions thereof, e.g. Mortars, concrete or like building materials; artificial stone; ceramics";;;Allauch;13
CARPANZANO JEROME;1;C04B;"Lime; magnesia; slag; cements; compositions thereof, e.g. Mortars, concrete or like building materials; artificial stone; ceramics";;;Marseille;13
CARPANZANO JOSEPH;1;C04B;"Lime; magnesia; slag; cements; compositions thereof, e.g. Mortars, concrete or like building materials; artificial stone; ceramics";;;Marseille;13
CARPANZANO LAETITIA;1;C04B;"Lime; magnesia; slag; cements; compositions thereof, e.g. Mortars, concrete or like building materials; artificial stone; ceramics";;;Allauch;13
CARPENTIER CLAUDE;3;H04S;Stereophonic systems;;;Maisons Laffitte;78
CARPENTIER PHILIPPE;1;F16L;"Pipes; joints or fittings for pipes; supports for pipes, cables or protective tubing; means for thermal insulation in general";G06K;"Recognition of data; presentation of data; record carriers; handling record carriers";Benejacq;64
CARPENTIER PREUX;1;D04B;Knitting;;;Caudry;59
CARPYZ;6;F01D;Non-positive-displacement machines or engines, e.g. Steam turbines;;;Issy les Moulineaux;92
CARREFOUR;3;A45C;"Purses; luggage; hand carried bags";;;Boulogne Billancourt;92
CARRERAS FRANCK;1;A47D;Furniture specially adapted for children;B62B;"Hand-propelled vehicles, e.g. Hand carts or perambulators; sledges";Cannes;64
CARRERAS JULIE;1;A47D;Furniture specially adapted for children;B62B;"Hand-propelled vehicles, e.g. Hand carts or perambulators; sledges";Cannes;64
CARRETTE CHRISTOPHE;1;E06B;Fixed or movable closures for openings in buildings, vehicles, fences, or like enclosures, in general, e.g. Doors, windows, blinds, gates;;;Douai;59
CARRIER CARROSSERIE;1;B62D;"Motor vehicles; trailers";;;Paris;75
CARRIER KHEOPS BAC;7;G02B;Optical elements, systems, or apparatus;H01R;"Electrically-conductive connections; structural associations of a plurality of mutually-insulated electrical connecting elements; coupling devices; current collectors";Allonnes;72
CARRIERES INDUSTRIES SERVICES;1;B29C;"Shaping or joining of plastics; shaping of substances in a plastic state, in general; after- treatment of the shaped products, e.g. Repairing";;;Saint Christophe du Foc;50
CARRIOU XAVIER;1;G02C;"Spectacles; sunglasses or goggles insofar as they have the same features as spectacles; contact lenses";;;Le Plessis Mace;49
CARRIVAL;1;B01F;Mixing, e.g. Dissolving, emulsifying, dispersing;;;Almont les Junies;12
CARROUCELL;1;C12M;Apparatus for enzymology or microbiology;;;Saint;73
CARTADIS;1;G06Q;"Data processing systems or methods, specially adapted for administrative, commercial, financial, managerial, supervisory or forecasting purposes; systems or methods specially adapted for administrative, commercial, financial, managerial, supervisory or forecasting purposes, not otherwise provided for";;;Fontenay sous Bois;92
CARTE GILLES;1;F16F;"Springs; shock-absorbers; means for damping vibration";;;Cannes;61
CARTESIAM;2;G01M;"Testing static or dynamic balance of machines or structures; testing of structures or apparatus, not otherwise provided for";G06F;Electric digital data processing;La Garde;83
CARTHERA;8;A61N;"Electrotherapy; magnetotherapy; radiation therapy; ultrasound therapy";;;Paris;75
CARTILLIER JEANCLAUDE;1;A61F;"Filters implantable into blood vessels; prostheses; devices providing patency to, or preventing collapsing of, tubular structures of the body, e.g. Stents; orthopaedic, nursing or contraceptive devices; fomentation; treatment or protection of eyes or ears; bandages, dressings or absorbent pads; first-aid kits";;;Lyon;69
CARTON OLIVIER;1;C23C;"Coating metallic material; coating material with metallic material; surface treatment of metallic material by diffusion into the surface, by chemical conversion or substitution; coating by vacuum evaporation, by sputtering, by ion implantation or by chemical vapour deposition, in general";;;Gueures;76
CASALINO EPOUSE EXPOSITO PATRICIA;1;B01J;"Chemical or physical processes, e.g. Catalysis, colloid chemistry; their relevant apparatus";B65F;Gathering or removal of domestic or like refuse;Paris;75
CASBI EVELYNE;1;A61F;"Filters implantable into blood vessels; prostheses; devices providing patency to, or preventing collapsing of, tubular structures of the body, e.g. Stents; orthopaedic, nursing or contraceptive devices; fomentation; treatment or protection of eyes or ears; bandages, dressings or absorbent pads; first-aid kits";;;Paris;75
CASCADE;3;H01L;"Semiconductor devices; electric solid state devices not otherwise provided for";;;Clamart;92
CASH SYSTEMS SECURITY;1;G06T;Image data processing or generation, in general;;;Saint Raphael;83
CASHMAG;1;G07G;Registering the receipt of cash, valuables, or tokens;;;Cuers;83
CASINO ADVANCED TECHNOLOGY;1;A63F;"Card, board, or roulette games; indoor games using small moving playing bodies; games not otherwise provided for";;;La Plaine;93
CASSANDRELEC VILLAGE DE SAINTMAUDE;1;H01R;"Electrically-conductive connections; structural associations of a plurality of mutually-insulated electrical connecting elements; coupling devices; current collectors";;;;56
CASSIDIAN;12;H04L;Transmission of digital information, e.g. Telegraphic communication;;;elancourt;78
CASSIDIAN CYBERSECURITY;10;H04L;Transmission of digital information, e.g. Telegraphic communication;;;elancourt;78
CASTALDO YANN;1;A61C;"Dentistry; apparatus or methods for oral or dental hygiene";;;Aix en Provence;13
CASTEIGT JEAN MARC;1;C14C;"Chemical treatment of skins, hides or leather, e.g. Tanning, impregnating, finishing; apparatus therefor; compositions for tanning";;;Pau;64
CASTEL JEANLOUIS;3;E04F;Finishing work on buildings, e.g. Stairs, floors;;;Poitiers;86
CASTER;3;A61K;Preparations for medical, dental, or toilet purposes;;;Paris;75
CASTORAMA FRANCE;6;B25D;Percussive tools;;;Templemars;59
CATERPILLAR FRANCE;1;E02F;"Dredging; soil-shifting";;;Grenoble;38
CATEYGA;1;B08B;"Cleaning in general; prevention of fouling in general";;;Annecy;74
CATHAIR;2;B29C;"Shaping or joining of plastics; shaping of substances in a plastic state, in general; after- treatment of the shaped products, e.g. Repairing";B32B;Layered products, i.e. Products built-up of strata of flat or non-flat, e.g. Cellular or honeycomb, form;Saint Medard en Jalles;33
CATHIE ASSOCIATES;1;E02D;"Foundations; excavations; embankments";;;Nanterre;92
CATS POWER DESIGN;1;B60R;Vehicles, vehicle fittings, or vehicle parts, not otherwise provided for;;;Annecy;74
CATTAN EDGARD;1;H04L;Transmission of digital information, e.g. Telegraphic communication;;;Paris;75
CATTEAU BENOIT;2;F16B;"Devices for fastening or securing constructional elements or machine parts together, e.g. Nails, bolts, circlips, clamps, clips or wedges; joints or jointing";;;La Merlatiere;85
CATTEAU FREDERIC;1;G01F;"Measuring volume, volume flow, mass flow, or liquid level; metering by volume";;;Paris;75
CATTIN FILTRATION;1;F16K;"Valves; taps; cocks; actuating-floats; devices for venting or aerating";;;Pont de Roide;25
CAUDALIE;1;A61K;Preparations for medical, dental, or toilet purposes;;;Paris;75
CAUMONT FRANCIS;1;B65F;Gathering or removal of domestic or like refuse;B65G;"Transport or storage devices, e.g. Conveyers for loading or tipping; shop conveyer systems; pneumatic tube conveyers";Lahonce;64
CAUMONT JEANMARC;1;B65F;Gathering or removal of domestic or like refuse;B65G;"Transport or storage devices, e.g. Conveyers for loading or tipping; shop conveyer systems; pneumatic tube conveyers";Saint Martin de Seignanx;40
CAUNANT NICOLAS;1;A23L;"Foods, foodstuffs, or non-alcoholic beverages, not covered by subclasses ; a21d;  or a23b-a23j; their preparation or treatment, e.g. Cooking, modification of nutritive qualities, physical treatment";B65D;"Containers for storage or transport of articles or materials, e.g. Bags, barrels, bottles, boxes, cans, cartons, crates, drums, jars, tanks, hoppers, forwarding containers; accessories, closures, or fittings therefor; packaging elements; packages";Cierrey;27
CAUSSE BENOIT;1;A61F;"Filters implantable into blood vessels; prostheses; devices providing patency to, or preventing collapsing of, tubular structures of the body, e.g. Stents; orthopaedic, nursing or contraceptive devices; fomentation; treatment or protection of eyes or ears; bandages, dressings or absorbent pads; first-aid kits";;;Pibrac;31
CAUVAL INDUSTRIES;1;A47C;Chairs;;;Torcy;77
CAVAC BIOMATERIAUX;2;F16L;"Pipes; joints or fittings for pipes; supports for pipes, cables or protective tubing; means for thermal insulation in general";;;La Roche sur Yon;85
CAZAL LAURENT;1;A61B;"Diagnosis; surgery; identification";;;Limoges;87
CAZALI CHRISTOPHE;1;A61G;Transport, personal conveyances, or accommodation specially adapted for patients or disabled persons;;;Viroflay;78
CAZAUDEHORE GUILLAUME;1;A63H;Toys, e.g. Tops, dolls, hoops, building blocks;B67B;"Applying closure members to bottles, jars, or similar containers; opening closed containers";Paris;75
CB INVESTISSEMENTS;2;G06Q;"Data processing systems or methods, specially adapted for administrative, commercial, financial, managerial, supervisory or forecasting purposes; systems or methods specially adapted for administrative, commercial, financial, managerial, supervisory or forecasting purposes, not otherwise provided for";;;Paris;75
CB LUM DESIGN;1;C08G;Macromolecular compounds obtained otherwise than by reactions only involving carbon-to-carbon unsaturated bonds;G09F;"Displaying; advertising; signs; labels or name-plates; seals";Chilleurs aux Bois;45
CBDC INVESTISSEMENTS;1;A01G;"Horticulture; cultivation of vegetables, flowers, rice, fruit, vines, hops, or seaweed; forestry; watering";;;Angers;49
CBS OUTDOOR;1;G06Q;"Data processing systems or methods, specially adapted for administrative, commercial, financial, managerial, supervisory or forecasting purposes; systems or methods specially adapted for administrative, commercial, financial, managerial, supervisory or forecasting purposes, not otherwise provided for";;;Issy les Moulineaux;92
CC LAB;2;H04R;"Loudspeakers, microphones, gramophone pick-ups or like acoustic electromechanical transducers; deaf-aid sets; public address systems";;;;64
CCP COMPOSITES;2;C08G;Macromolecular compounds obtained otherwise than by reactions only involving carbon-to-carbon unsaturated bonds;G02B;Optical elements, systems, or apparatus;Courbevoie;92
CDC;4;A61G;Transport, personal conveyances, or accommodation specially adapted for patients or disabled persons;;;Saint Bonnet de Mure;69
CDH;16;E06C;Ladders;;;Romilly sur Andelle;27
CDIB;1;A47J;"Kitchen equipment; coffee mills; spice mills; apparatus for making beverages";;;Oingt;69
CDL;1;A61G;Transport, personal conveyances, or accommodation specially adapted for patients or disabled persons;;;Allaire;56
CDN CONSEIL ET DEVELOPPEMENT NOMINE;1;D06F;Laundering, drying, ironing, pressing or folding textile articles;;;Sillars;86
CDPINNOVATION;3;C08G;Macromolecular compounds obtained otherwise than by reactions only involving carbon-to-carbon unsaturated bonds;;;Lyon;69
CDVI;1;E05B;"Locks; accessories therefor; handcuffs";E05C;Bolts or fastening devices for wings, specially for doors or windows;Pantin;93
CDVI DIGIT;2;E05C;Bolts or fastening devices for wings, specially for doors or windows;;;Pantin;93
CEA;5238;H01L;"Semiconductor devices; electric solid state devices not otherwise provided for";;;Paris;75
CEAG COMPTOIR EUROPEEN DES ARTS GRAPHIQUES;1;B41M;"Printing, duplicating, marking, or copying processes; colour printing";G03G;"Electrography; electrophotography; magnetography";Cerisy Belle etoile;61
CECA;17;B01J;"Chemical or physical processes, e.g. Catalysis, colloid chemistry; their relevant apparatus";;;La Garenne Colombes;92
CECALC;1;C07C;Acyclic or carbocyclic compounds;;;Colombes;92
CECCHI GERARD;1;G09F;"Displaying; advertising; signs; labels or name-plates; seals";;;Chatou;78
CEDRAT TECHNOLOGIES;5;H02K;Dynamo-electric machines;H02N;Electric machines not otherwise provided for;Meylan;38
CEDREM;1;F41H;"Armour; armoured turrets; armoured or armed vehicles; means of attack or defence, e.g. Camouflage, in general";;;Neung sur Beuvron;41
CEE COMPAGNIE EUROPEENNE DES EMBALLAGES ROBERT SCHISLER;1;B31B;Making boxes, cartons, envelopes, or bags;;;Thouars;79
CEFA;1;B63B;"Ships or other waterborne vessels; equipment for shipping";;;Soultz sous Forets;67
CEGEDIM;2;G06F;Electric digital data processing;;;Boulogne Billancourt;92
CEILIN;1;E04B;"General building constructions; walls, e.g. Partitions; roofs; floors; ceilings; insulation or other protection of buildings";E04F;Finishing work on buildings, e.g. Stairs, floors;Saint Germain Laprade;43
CEISA PACKAGING;2;B08B;"Cleaning in general; prevention of fouling in general";B32B;Layered products, i.e. Products built-up of strata of flat or non-flat, e.g. Cellular or honeycomb, form;Bernay;27
CELESTE;1;H05K;"Printed circuits; casings or constructional details of electric apparatus; manufacture of assemblages of electrical components";;;Marnes;77
CELL ENVIRONMENT;1;C12Q;Measuring or testing processes involving enzymes or micro-organisms;;;Champigny sur Marne;94
CELLECTIS;119;C12N;"Micro-organisms or enzymes; compositions thereof";;;Paris;75
CELLIPSE;1;A61P;Specific therapeutic activity of chemical compounds or medicinal preparations;;;Saint Cyr au Mont d Or;69
CELLMADE;1;G01N;Investigating or analysing materials by determining their chemical or physical properties;;;Archamps;74
CELLOZ;1;B27N;Manufacture by dry processes of articles, with or without organic binding agents, made from particles or fibres consisting of wood or other lignocellulosic or like organic material;;;Paris;75
CELLPROTHERA;2;C12M;Apparatus for enzymology or microbiology;;;Mulhouse;68
CELLULOPACK;1;B29C;"Shaping or joining of plastics; shaping of substances in a plastic state, in general; after- treatment of the shaped products, e.g. Repairing";B65D;"Containers for storage or transport of articles or materials, e.g. Bags, barrels, bottles, boxes, cans, cartons, crates, drums, jars, tanks, hoppers, forwarding containers; accessories, closures, or fittings therefor; packaging elements; packages";Castelsarrasin;82
CELLVAX;2;C07K;Peptides;;;Romainville;93
CELODEV;3;D21C;"Production of cellulose by removing non-cellulose substances from cellulose- containing materials; regeneration of pulping liquors; apparatus therefor";;;Anglure;51
CELSIUS X VI II;2;G04B;"Mechanically-driven clocks or watches; mechanical parts of clocks or watches in general; time-pieces using the position of the sun, moon, or stars";G04C;Electromechanical clocks or watches;Paris;75
CELTECH;1;G01F;"Measuring volume, volume flow, mass flow, or liquid level; metering by volume";;;Ergue Gaberic;29
CELTIPHARM;1;H04L;Transmission of digital information, e.g. Telegraphic communication;;;Vannes;56
CEMA TECHNOLOGIES;5;B29C;"Shaping or joining of plastics; shaping of substances in a plastic state, in general; after- treatment of the shaped products, e.g. Repairing";;;Le Mans;72
CEMAG CARE;1;A61L;"Methods or apparatus for sterilising materials or objects in general; disinfection, sterilisation, or deodorisation of air; chemical aspects of bandages, dressings, absorbent pads, or surgical articles; materials for bandages, dressings, absorbent pads, or surgical articles";;;Paris;75
CEMATERRE;3;C04B;"Lime; magnesia; slag; cements; compositions thereof, e.g. Mortars, concrete or like building materials; artificial stone; ceramics";;;Oudalle;76
CEMBOX;1;B60P;Vehicles adapted for load transportation or to transport, to carry, or to comprise special loads or objects;B65D;"Containers for storage or transport of articles or materials, e.g. Bags, barrels, bottles, boxes, cans, cartons, crates, drums, jars, tanks, hoppers, forwarding containers; accessories, closures, or fittings therefor; packaging elements; packages";Heric;44
CEMENTIC;1;A61K;Preparations for medical, dental, or toilet purposes;A61L;"Methods or apparatus for sterilising materials or objects in general; disinfection, sterilisation, or deodorisation of air; chemical aspects of bandages, dressings, absorbent pads, or surgical articles; materials for bandages, dressings, absorbent pads, or surgical articles";Villemoisson sur Orge;91
CEMENTYS;4;G01M;"Testing static or dynamic balance of machines or structures; testing of structures or apparatus, not otherwise provided for";;;Paris;75
CEMES;1;B65B;"Machines, apparatus or devices for, or methods of, packaging articles or materials; unpacking";;;Vouneuil sous Biard;86
CEMRA;3;H01R;"Electrically-conductive connections; structural associations of a plurality of mutually-insulated electrical connecting elements; coupling devices; current collectors";;;Gardanne;13
CENTAUR CLINICAL CRO;1;A61F;"Filters implantable into blood vessels; prostheses; devices providing patency to, or preventing collapsing of, tubular structures of the body, e.g. Stents; orthopaedic, nursing or contraceptive devices; fomentation; treatment or protection of eyes or ears; bandages, dressings or absorbent pads; first-aid kits";;;Gardanne;13
CENTRAL DESIGN;2;B60P;Vehicles adapted for load transportation or to transport, to carry, or to comprise special loads or objects;;;Nantes;44
CENTRALE LILLE INSTITUT;3;F04B;"Positive-displacement machines for liquids; pumps";;;Villeneuve d Ascq;59
CENTRALE SUPELEC;1;C12M;Apparatus for enzymology or microbiology;;;Chatenay Malabry;92
CENTRALESUPELEC;14;B01D;Separation;;;Gif sur Yvette;91
CENTRE ANTOINE LACASSAGNE;2;A61N;"Electrotherapy; magnetotherapy; radiation therapy; ultrasound therapy";C12Q;Measuring or testing processes involving enzymes or micro-organisms;Nice;61
CENTRE CHIRURGICAL MARIE LANNELONGUE;1;A61M;Devices for introducing media into, or onto, the body;;;Le Plessis Robinson;92
CENTRE DE COOPERATION INTERNATIONAL EN RECHERCHE AGRONOMIQUE CIRAD;1;A01H;"New plants or processes for obtaining them; plant reproduction by tissue culture techniques";C07K;Peptides;Montpellier;34
CENTRE DE COOPERATION INTERNATIONALE EN RECHERCHE AGRONOMIQUE POUR LE DEVELOPPEMENT;10;A61K;Preparations for medical, dental, or toilet purposes;;;Paris;75
CENTRE DE COOPERATION INTERNATIONALE EN RECHERCHE AGRONOMIQUE POUR LE DEVELOPPEMENT CIRAD;9;A01N;Preservation of bodies of humans or animals or plants or parts thereof;;;Paris;75
CENTRE DE LUTTE CONTRE LE CANCER FRANCOIS BACLESSE;1;C07D;Heterocyclic compounds;;;Caen;14
CENTRE DE LUTTE CONTRE LE CANCER LEON BERARD;2;C07K;Peptides;;;Lyon;69
CENTRE DE PYROLYSE DU CHARBON DE MARIENAU;1;C10B;Destructive distillation of carbonaceous materials for production of gas, coke, tar, or similar materials;F27D;Details or accessories of furnaces, kilns, ovens, or retorts, in so far as they are of kinds occurring in more than one kind of furnace;Forbach;57
CENTRE DE RECHERCHE POUR LARCHITECTURE ET LES INDUSTRIES NAUTIQUES;1;B63H;Marine propulsion or steering;;;La Rochelle;17
CENTRE DE RECHERCHES BIOLOGIQUES ET DEXPERIMENTATIONS CUTAN;1;G01N;Investigating or analysing materials by determining their chemical or physical properties;;;Longjumeau;91
CENTRE DE RECHERCHES BIOLOGIQUES ET DEXPERIMENTATIONS CUTANEES;3;G01N;Investigating or analysing materials by determining their chemical or physical properties;;;Longjumeau;91
CENTRE DE TRANSFERT DE TECHNOLOGIES CERAMIQUES CTTC;1;B29C;"Shaping or joining of plastics; shaping of substances in a plastic state, in general; after- treatment of the shaped products, e.g. Repairing";C23C;"Coating metallic material; coating material with metallic material; surface treatment of metallic material by diffusion into the surface, by chemical conversion or substitution; coating by vacuum evaporation, by sputtering, by ion implantation or by chemical vapour deposition, in general";Limoges;87
CENTRE DETUDE DES CELLULES SOUCHES;1;C12N;"Micro-organisms or enzymes; compositions thereof";;;evry;91
CENTRE DETUDE DES CELLULES SOUCHES CECS;3;A61K;Preparations for medical, dental, or toilet purposes;A61P;Specific therapeutic activity of chemical compounds or medicinal preparations;Corbeil Essonnes;91
CENTRE DETUDE ET DE RECHERCHE POUR LAUTOMOBILE;1;B60N;Vehicle passenger accommodation not otherwise provided for;;;Reims;51
CENTRE DETUDE ET DE RECHERCHE POUR LAUTOMOBILE CERA;40;B60R;Vehicles, vehicle fittings, or vehicle parts, not otherwise provided for;;;Reims;51
CENTRE DETUDE ET DE VALORISATION DES ALGUES;1;C12N;"Micro-organisms or enzymes; compositions thereof";;;Pleubian;22
CENTRE DETUDE ET DE VALORISATION DES ALGUESCEVA;1;C12N;"Micro-organisms or enzymes; compositions thereof";C12P;Fermentation or enzyme-using processes to synthesise a desired chemical compound or composition or to separate optical isomers from a racemic mixture;Pleubian;22
CENTRE DETUDES ET DE RECHERCHES DE LINDUSTRIE DU BETON;5;C04B;"Lime; magnesia; slag; cements; compositions thereof, e.g. Mortars, concrete or like building materials; artificial stone; ceramics";;;epernon;28
CENTRE DETUDES ET DE RECHERCHES DE LINDUSTRIE DU BETON MANUFACTURE;3;C04B;"Lime; magnesia; slag; cements; compositions thereof, e.g. Mortars, concrete or like building materials; artificial stone; ceramics";;;epernon;28
CENTRE DETUDES ET DEXPERTISE SUR LES RISQUES LENVIRONNEMENT LA MOBILITE ET LAMENAGEMENT CEREMA;1;G01K;"Measuring temperature; measuring quantity of heat; thermally-sensitive elements not otherwise provided for";;;Bron;69
CENTRE DEVALUATION ET DE READAPTATION SPORTIVE CEVRES;1;A63B;"Apparatus for physical training, gymnastics, swimming, climbing, or fencing; ball games; training equipment";;;Le Bourget du Lac;73
CENTRE DINVESTIGATION CLINIQUE PLURITHEMATIQUE PIERRE DROUIN INSERM CHU DE NANCY INSTITUT LORRAIN DU COEUR ET DES VAISSEA;1;G01N;Investigating or analysing materials by determining their chemical or physical properties;;;Nancy;54
CENTRE EUGENE MARQUIS;5;A61K;Preparations for medical, dental, or toilet purposes;;;Rennes;35
CENTRE EUROPEEN DETUDE DU DIABETE;1;A61F;"Filters implantable into blood vessels; prostheses; devices providing patency to, or preventing collapsing of, tubular structures of the body, e.g. Stents; orthopaedic, nursing or contraceptive devices; fomentation; treatment or protection of eyes or ears; bandages, dressings or absorbent pads; first-aid kits";A61L;"Methods or apparatus for sterilising materials or objects in general; disinfection, sterilisation, or deodorisation of air; chemical aspects of bandages, dressings, absorbent pads, or surgical articles; materials for bandages, dressings, absorbent pads, or surgical articles";Strasbourg;67
CENTRE EUROPEEN DEXPERTISE ET DE RECHERCHE SUR LES AGENTS MICROBIENS CEERAM;1;C12Q;Measuring or testing processes involving enzymes or micro-organisms;;;La Chapelle sur Erdre;44
CENTRE GEORGES FRANCOIS LECLERC;1;C12Q;Measuring or testing processes involving enzymes or micro-organisms;;;Dijon;21
CENTRE HENRI BECQUEREL;2;C12Q;Measuring or testing processes involving enzymes or micro-organisms;;;Rouen;76
CENTRE HOSPITALIER DE BORDEAUX;2;A61K;Preparations for medical, dental, or toilet purposes;;;Talence;33
CENTRE HOSPITALIER DE LENS;1;A61N;"Electrotherapy; magnetotherapy; radiation therapy; ultrasound therapy";;;Lens;62
CENTRE HOSPITALIER DE VERSAILLES;1;G01N;Investigating or analysing materials by determining their chemical or physical properties;;;Le Chesnay;78
CENTRE HOSPITALIER INTERCOMMUNAL DE CRETEIL;1;G01N;Investigating or analysing materials by determining their chemical or physical properties;;;Creteil;94
CENTRE HOSPITALIER INTERCOMMUNAL DE POISSY SAINTGERMAIN;1;C12M;Apparatus for enzymology or microbiology;;;Saint Germain en Laye;78
CENTRE HOSPITALIER NATIONAL DOPHTALMOLOGIE QUINZEVINGTS;1;A61K;Preparations for medical, dental, or toilet purposes;A61P;Specific therapeutic activity of chemical compounds or medicinal preparations;Paris;75
CENTRE HOSPITALIER PUBLIC DU COTENTIN;1;A61G;Transport, personal conveyances, or accommodation specially adapted for patients or disabled persons;B66F;Hoisting, lifting, hauling, or pushing, not otherwise provided for, e.g. Devices which apply a lifting or pushing force directly to the surface of a load;Cherbourg Octeville;50
CENTRE HOSPITALIER SAINTE ANNE PARIS;5;A61K;Preparations for medical, dental, or toilet purposes;;;Paris;75
CENTRE HOSPITALIER SAINTEANNE;1;C12Q;Measuring or testing processes involving enzymes or micro-organisms;;;Paris;75
CENTRE INTERNATIONAL DE RECHERCHE AUX FRONTIERES DE LA CHIMIE;4;C07D;Heterocyclic compounds;;;Strasbourg;67
CENTRE INTERNATIONAL DE RECHERCHE AUX FRONTIERES DE LA CHIMIE FONDATION DE COOPERATION SCIENTIFIQUE;2;H01L;"Semiconductor devices; electric solid state devices not otherwise provided for";;;Strasbourg;67
CENTRE INTERNATIONAL DETUDES SUPERIEURES EN SCIENCES AGRONOMIQUES;1;A01P;Biocidal, pest repellant, pest attractant or plant growth regulatory activity of chemical compounds or preparations;;;Montpellier;34
CENTRE INTERNATIONAL DETUDES SUPERIEURES EN SCIENCES AGRONOMIQUES MONTPELLIER SUP AGRO;4;B01D;Separation;B01J;"Chemical or physical processes, e.g. Catalysis, colloid chemistry; their relevant apparatus";Montpellier;34
CENTRE INTERNATIONAL DETUDES SUPERIEURES EN SCIENCES AGRONOMIQUES MONTPELLIER SUPAGRO;1;C12N;"Micro-organisms or enzymes; compositions thereof";C12P;Fermentation or enzyme-using processes to synthesise a desired chemical compound or composition or to separate optical isomers from a racemic mixture;Montpellier;34
CENTRE JEAN PERRIN;1;A61K;Preparations for medical, dental, or toilet purposes;;;Clermont Ferrand;63
CENTRE LEON BERARD;41;A61K;Preparations for medical, dental, or toilet purposes;G01N;Investigating or analysing materials by determining their chemical or physical properties;Lyon;69
CENTRE LEON BERARD CENTRE REGIONAL DE LUTTE CONTRE LE CANCER;1;G01N;Investigating or analysing materials by determining their chemical or physical properties;;;Lyon;69
CENTRE LEONBERARD;6;G01N;Investigating or analysing materials by determining their chemical or physical properties;;;Lyon;69
CENTRE NATIONAL D ETUDES SPATIALES CNES;1;B25J;"Manipulators; chambers provided with manipulation devices";;;Paris;75
CENTRE NATIONAL DE RECHERCHE SCIENTIFIQUE;1;G03H;Holographic processes or apparatus;;;Paris;75
CENTRE NATIONAL POUR LA RECHERCHE SCIENTIFIQUE CNRS;2;A61K;Preparations for medical, dental, or toilet purposes;;;Paris;75
CENTRE OSCAR LAMBRET;1;A61B;"Diagnosis; surgery; identification";;;Lille;59
CENTRE REGIONAL DE LUTTE CONTRE LE CANCER;1;A61K;Preparations for medical, dental, or toilet purposes;;;Montpellier;34
CENTRE REGIONAL DE LUTTE CONTRE LE CANCER CENTRE FRANCOIS BACLESSE;1;C07D;Heterocyclic compounds;;;Caen;14
CENTRE REGIONAL FRANCOIS BACLESSE;3;C12Q;Measuring or testing processes involving enzymes or micro-organisms;G06T;Image data processing or generation, in general;Caen;14
CENTRE REGIONAL HOSPITALIER UNIVERSITAIRE DE NIMES;3;C08L;Compositions of macromolecular compounds;G01N;Investigating or analysing materials by determining their chemical or physical properties;Nimes;30
CENTRE SCIENTIFIQUE ET TECHNIQUE DU BATIMENT;8;G01N;Investigating or analysing materials by determining their chemical or physical properties;;;Champs sur Marne;77
CENTRE SCIENTIFIQUE ET TECHNIQUE DU BATIMENT CSTB;6;A61B;"Diagnosis; surgery; identification";;;Champs sur Marne;77
CENTRE TECHNIQUE DE LINDUSTRIE DES PAPIERS CARTONS ET CELLULOSES;7;D21H;"Pulp compositions; preparation thereof not covered by subclasses ; d21c, d21d; impregnating or coating of paper; treatment of finished paper not covered by class ; b31;  or subclass d21g; paper not otherwise provided for";;;Grenoble;38
CENTRE TECHNIQUE DE LINDUSTRIE DU DECOLLETAGE;3;B23B;"Turning; boring";G01B;"Measuring length, thickness or similar linear dimensions; measuring angles; measuring areas; measuring irregularities of surfaces or contours";Cluses;74
CENTRE TECHNIQUE DES INDUSTRIES MECANIQUES;17;B29C;"Shaping or joining of plastics; shaping of substances in a plastic state, in general; after- treatment of the shaped products, e.g. Repairing";;;Senlis;60
CENTRE TECHNIQUE DES INDUSTRIES MECANIQUES ET DU DECOLLETAGE;6;B23Q;Details, components, or accessories for machine tools, e.g. Arrangements for copying or controlling;;;Cluses;74
CENTRE TECHNIQUE DU PAPIER;3;B32B;Layered products, i.e. Products built-up of strata of flat or non-flat, e.g. Cellular or honeycomb, form;D21F;"Paper-making machines; methods of producing paper thereon";Gieres;38
CENTRE TECHNOLOGIQUE ALPHANOV;3;H01S;Devices using stimulated emission;;;Talence;33
