firm_name;n_patents;ipc_main_code;ipc_main_desc;ipc_second_code;ipc_second_desc;addr_city_main;addr_dept_main
INSTITUT TELECOM TELECOM SUD PARIS;2;G01S;"Radio direction-finding; radio navigation; determining distance or velocity by use of radio waves; locating or presence-detecting by use of the reflection or reradiation of radio waves; analogous arrangements using other waves";;;evry;91
INSTITUT VEDECOM;29;H01L;"Semiconductor devices; electric solid state devices not otherwise provided for";;;Versailles;78
INSTITUTE NATIONAL POLYTECHNIQUE DE TOULOUSE;7;C25D;"Processes for the electrolytic or electrophoretic production of coatings; electroforming";G01C;"Measuring distances, levels or bearings; surveying; navigation; gyroscopic instruments; photogrammetry or videogrammetry";Toulouse;31
INSTRUMENTATION SCIENTIFIQUE DE LABORATOIRE ISL;4;G01N;Investigating or analysing materials by determining their chemical or physical properties;;;Carpiquet;14
INSTUTUT MINESTELECOM;1;G10L;"Speech analysis or synthesis; speech recognition; audio analysis or processing";;;Paris;75
INSURLYTECH;1;G07C;"Time or attendance registers; registering or indicating the working of machines; generating random numbers; voting or lottery apparatus; arrangements, systems, or apparatus for checking not provided for elsewhere";G09F;"Displaying; advertising; signs; labels or name-plates; seals";Rennes;35
INT AIR MEDICAL;1;A61M;Devices for introducing media into, or onto, the body;;;Bourg en Bresse;10
INTECH MEDICAL;1;A61B;"Diagnosis; surgery; identification";;;Rang du Fliers;62
INTECTRA;1;G06F;Electric digital data processing;;;Servon sur Vilaine;35
INTEGRA METERING;3;G01F;"Measuring volume, volume flow, mass flow, or liquid level; metering by volume";;;Blagnac;31
INTEGRAGEN;9;C12Q;Measuring or testing processes involving enzymes or micro-organisms;;;Evry;91
INTEGRATION TECHNIQUE ET CABLAGE ITEC;1;H01R;"Electrically-conductive connections; structural associations of a plurality of mutually-insulated electrical connecting elements; coupling devices; current collectors";;;Saint Sylvain d Anjou;49
INTELECTYS;1;C07K;Peptides;;;Paris;75
INTELLICORE SERVICES;4;H04W;Wireless communication networks;;;Sophia Antipolis;65
INTELLIDOM;1;A61B;"Diagnosis; surgery; identification";;;Brive la Gaillarde;19
INTELLIGENCE ARTIFICIELLE APPLICATIONS;3;G01N;Investigating or analysing materials by determining their chemical or physical properties;;;Montpellier;34
INTELLIGENT ELECTRONIC SYSTEMS;6;B60L;Propulsion of electrically-propelled vehicles;;;Montpellier;34
INTELLINIUM;1;A43B;"Characteristic features of footwear; parts of footwear";;;Aix en Provence;13
